Mã CK,Tên Công ty,2020,2021,2022,2023,2024,2025
VIC,VinGroup," 110,490 "," 125,688 "," 101,794 "," 161,428 "," 189,068 "," 331,838 "
VCB,Vietcombank," 49,063 "," 56,724 "," 68,083 "," 67,723 "," 68,578 "," 72,455 "
VHM,Vinhomes," 71,547 "," 84,986 "," 62,393 "," 103,557 "," 102,323 "," 153,271 "
VGI,Đầu tư Quốc tế Viettel," 18,962 "," 19,242 "," 23,630 "," 28,212 "," 35,368 "," 44,271 "
BID,BIDV," 50,037 "," 62,494 "," 69,582 "," 73,013 "," 81,061 "," 91,214 "
CTG,VietinBank," 45,317 "," 53,157 "," 64,117 "," 70,548 "," 81,909 "," 87,295 "
TCB,Techcombank," 27,043 "," 37,076 "," 40,527 "," 40,061 "," 46,990 "," 53,391 "
VPB,VPBank," 39,033 "," 44,301 "," 57,797 "," 49,739 "," 62,255 "," 74,654 "
MBB,MBBank," 27,362 "," 36,934 "," 45,593 "," 47,306 "," 55,413 "," 67,693 "
HPG,Hòa Phát," 90,119 "," 149,680 "," 141,409 "," 118,953 "," 138,855 "," 156,116 "
GAS,PV Gas," 64,135 "," 78,992 "," 100,724 "," 89,954 "," 103,564 "," 135,129 "
MCH,Hàng Tiêu Dùng MaSan," 23,343 "," 27,774 "," 26,977 "," 28,241 "," 30,897 "," 30,557 "
ACV,Cảng Hàng không VN," 7,767 "," 4,752 "," 13,805 "," 19,998 "," 22,597 "," 25,898 "
VPL,Vinpearl ,,," 7,173 "," 9,254 "," 14,376 "," 15,539 "
BSR,Lọc Hóa dầu Bình Sơn," 57,959 "," 101,080 "," 167,124 "," 147,423 "," 123,027 "," 141,582 "
VNM,VINAMILK," 59,636 "," 60,919 "," 59,956 "," 60,369 "," 61,783 "," 63,646 "
FPT,FPT Corp," 29,830 "," 35,657 "," 44,010 "," 52,618 "," 62,849 "," 70,113 "
LPB,LPBank," 7,771 "," 10,051 "," 14,170 "," 15,625 "," 19,932 "," 21,881 "
HDB,HDBank," 13,779 "," 16,758 "," 21,967 "," 26,414 "," 34,032 "," 42,696 "
ACB,ACB," 18,161 "," 23,564 "," 28,790 "," 32,747 "," 33,515 "," 33,798 "
TCX,Chứng khoán TCBS," 3,097 "," 4,584 "," 4,227 "," 4,593 "," 6,920 "," 10,004 "
MWG,Thế giới di động," 108,546 "," 122,958 "," 133,405 "," 118,280 "," 134,341 "," 155,928 "
STB,Sacombank," 17,271 "," 17,704 "," 26,141 "," 26,173 "," 28,677 "," 32,057 "
MSN,Tập đoàn Masan," 77,218 "," 88,629 "," 76,189 "," 78,252 "," 83,178 "," 81,621 "
VJC,Vietjet Air," 18,220 "," 12,875 "," 40,142 "," 58,341 "," 72,045 "," 82,093 "
VCK,Chứng Khoán VPS," 1,003 "," 1,689 "," 1,697 "," 1,814 "," 3,564 "," 4,939 "
SHB,SHB," 12,207 "," 18,153 "," 19,341 "," 21,328 "," 23,572 "," 29,017 "
HVN,Vietnam Airlines," 40,538 "," 27,911 "," 70,410 "," 91,540 "," 106,696 "," 121,207 "
SSI,Chứng khoán SSI," 2,465 "," 4,289 "," 3,631 "," 4,723 "," 5,241 "," 7,824 "
BVH,Tập đoàn Bảo Việt," 42,521 "," 44,378 "," 48,710 "," 50,842 "," 50,568 "," 52,253 "
VRE,Vincom Retail," 8,329 "," 5,891 "," 7,361 "," 9,791 "," 8,939 "," 8,837 "
VIB,VIBBank," 11,216 "," 14,891 "," 18,058 "," 22,160 "," 20,569 "," 20,007 "
SAB,SABECO," 27,961 "," 26,374 "," 34,979 "," 30,461 "," 31,872 "," 25,888 "
VPX,Chứng khoán VPBank, (2), 7 , 651 ," 1,644 "," 1,869 "," 6,311 "
BCM,Becamex Group," 6,507 "," 6,982 "," 6,506 "," 7,883 "," 5,239 "," 6,953 "
MSR,Masan High-Tech Materials," 7,291 "," 13,564 "," 15,550 "," 14,093 "," 14,336 "," 7,443 "
PLX,Petrolimex," 123,919 "," 169,009 "," 304,064 "," 273,979 "," 284,017 "," 309,875 "
VEA,Máy động lực và Máy NN," 3,667 "," 4,019 "," 4,747 "," 3,806 "," 4,103 "," 4,466 "
TPB,TPBank," 10,369 "," 13,517 "," 15,617 "," 16,237 "," 18,038 "," 18,995 "
EIB,Eximbank," 4,366 "," 4,709 "," 7,288 "," 6,555 "," 8,558 "," 7,292 "
POW,Điện lực Dầu khí Việt Nam," 29,732 "," 24,561 "," 28,224 "," 28,329 "," 30,306 "," 34,306 "
VIX,Chứng khoán VIX, 434 , 972 , 433 ," 1,230 ", 938 ," 7,158 "
REE,Cơ Điện Lạnh REE," 5,640 "," 5,810 "," 9,372 "," 8,570 "," 8,384 "," 10,012 "
PNJ,Vàng Phú Nhuận," 17,511 "," 19,547 "," 33,876 "," 33,137 "," 37,823 "," 34,976 "
MSB,MSB Bank," 7,182 "," 10,588 "," 10,694 "," 12,259 "," 14,218 "," 14,044 "
GMD,Gemadept," 2,606 "," 3,206 "," 3,898 "," 3,846 "," 4,832 "," 5,956 "
GEX,Tập đoàn Gelex," 17,949 "," 28,578 "," 32,089 "," 29,998 "," 33,752 "," 39,513 "
NVL,Novaland," 5,026 "," 14,903 "," 11,134 "," 4,757 "," 9,073 "," 6,966 "
VCI,Chứng khoán Vietcap," 1,208 "," 2,381 "," 1,758 "," 1,409 "," 1,978 "," 1,978 "
OCB,Ngân hàng Phương Đông," 8,013 "," 8,919 "," 8,534 "," 8,938 "," 10,069 "," 11,590 "
KDH,Nhà Khang Điền," 4,532 "," 3,738 "," 2,912 "," 2,088 "," 3,279 "," 4,651 "
KBC,TCT Đô thị Kinh Bắc," 2,151 "," 4,246 ", 950 ," 5,618 "," 2,776 "," 6,687 "
FRT,Bán lẻ FPT," 14,661 "," 22,495 "," 30,166 "," 31,850 "," 40,104 "," 51,083 "
DCM,Đạm Cà Mau," 7,561 "," 9,870 "," 15,925 "," 12,571 "," 13,456 "," 16,631 "
VND,Chứng khoán VNDIRECT," 1,591 "," 3,715 "," 3,003 "," 4,367 "," 3,203 "," 3,206 "
HCM,Chứng khoán HSC, 875 ," 1,725 "," 1,415 "," 1,207 "," 1,721 "," 2,561 "
PVS,DVKT Dầu khí PTSC," 20,180 "," 14,260 "," 16,366 "," 19,374 "," 23,770 "," 32,718 "
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí," 7,762 "," 12,786 "," 18,627 "," 13,569 "," 13,496 "," 16,564 "
VGC,Tổng Công ty Viglacera," 9,433 "," 11,194 "," 14,592 "," 13,194 "," 11,906 "," 13,315 "
DGC,Hóa chất Đức Giang," 6,236 "," 9,550 "," 14,444 "," 9,748 "," 9,865 "," 11,262 "
PVD,Khoan Dầu khí PVDrilling," 5,229 "," 3,995 "," 5,432 "," 5,804 "," 9,288 "," 10,897 "
SBT,Mía đường Thành Thành Công - Biên Hòa," 14,309 "," 16,659 "," 21,254 "," 25,892 "," 29,995 "," 26,228 "
IDC,IDICO," 5,356 "," 4,301 "," 7,485 "," 7,237 "," 8,846 "," 8,588 "
